state,popular_vote2012,Active,Total,hamp_approval_rate
HI,-42.70629887024755,2710,15714,17.245768104874635
VT,-35.597915065655386,294,1777,16.54473832301632
NY,-28.177731922133088,78944,470048,16.79488052284022
RI,-27.457297292449933,6880,36333,18.935953540858172
MD,-26.076458440373106,13564,83005,16.34118426600807
MA,-23.138570481983052,22971,126472,18.16291353026757
CA,-23.118580620984837,244419,1202235,20.330384658573408
DE,-18.626742784251103,589,3689,15.966386554621849
NJ,-17.787941187135537,3205,23610,13.574756459127489
CT,-17.331490224252065,12526,77014,16.264575272028463
IL,-16.86939409166019,52228,304576,17.1477726413112
ME,-15.287865615973528,1978,13042,15.166385523692686
WA,-14.868776867563627,18251,113074,16.14075738012275
OR,-12.08945547625568,12062,73993,16.301542037760328
NM,-10.149433881376648,3115,20260,15.3751233958539
MI,-9.49728818309853,25435,177431,14.335150001972599
MN,-7.694102046577613,13024,76813,16.955463267936416
WI,-6.942270878239519,6516,44957,14.493849678581755
NV,-6.680933829136936,19617,119104,16.4704795808705
IA,-5.81014802361299,1930,16719,11.5437526167833
NH,-5.575887658023101,1332,8171,16.301554277322236
PA,-5.3850846503188405,30375,212704,14.28040845494208
CO,-5.365161302374527,12977,80692,16.082139493382243
VA,-3.8733538998295236,10752,66332,16.20937104263402
OH,-2.9794260362239378,20370,151268,13.466166009995504
FL,-0.8768873067231645,124553,732336,17.007630377313145
NC,2.042095525075399,17668,120711,14.63661141072479
GA,7.8168485019422835,36590,221838,16.494018157394134
AZ,9.064766224175319,33893,200854,16.87444611508857
MO,9.380257590423756,11804,89724,13.155900316526235
IN,10.198229476166054,7409,56026,13.224217327669296
SC,10.473097848499938,8103,61830,13.105288694808346
MS,11.49648719959178,1797,13915,12.914121451670859
MT,13.653398010114701,331,2515,13.1610337972167
AK,13.98891828483003,409,3038,13.462804476629362
TX,15.78361918429553,33783,272734,12.386794459070009
LA,17.207112105172097,5876,49888,11.778383579217447
SD,18.02317111718868,252,2329,10.820094461142121
ND,19.631338976589063,186,1739,10.695802185163886
TN,20.402899726142397,11516,81463,14.136479137768067
KS,21.716749815297106,907,8041,11.279691580649173
NE,21.775877761119062,1414,11261,12.55661131338247
AL,22.186789231070346,5716,45793,12.482257113532636
KY,22.691813764875818,2970,22735,13.06355839014735
AR,23.687945782389,2032,17435,11.65471752222541
WV,26.756538263045947,643,6796,9.46144791053561
ID,31.90744993668305,2925,18954,15.432098765432098
OK,33.54463948603312,2332,21452,10.870781279134812
WY,40.82373394469628,178,1325,13.433962264150944
UT,48.04086727472873,7755,44418,17.459138187221395
